REGION,EJKAT20,TAL,TID,INDHOLD
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2011Q1,56.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2011Q3,67.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2011Q3,54.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2024Q2,100.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2024Q2,99.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2024Q3,100.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2024Q3,101.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2023Q4,99.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2023Q4,99.5
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2024Q1,99.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2024Q1,98.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2007Q1,81.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2007Q1,69.0
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2016Q3,76.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2016Q3,75.6
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2010Q3,69.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2010Q3,56.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2012Q2,64.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2012Q2,53.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2016Q1,74.4
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2016Q1,73.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2019Q1,82.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2019Q1,84.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2020Q1,85.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2020Q1,86.6
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2021Q2,97.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2021Q2,97.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2015Q3,72.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2015Q3,70.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2017Q4,79.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2017Q4,82.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2022Q1,102.3
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2022Q1,102.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2022Q2,101.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2022Q2,102.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2025Q4,110.4
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2025Q4,118.2
