date,target_yoy,price_d2_lag1,price_d2_lag2,price_d2_lag4,price_d2_roll4_mean,price_d2_roll4_std,unemployment_d1_lag1,unemployment_d1_lag4,interest_rate_d2_lag1,interest_rate_d2_lag4,population_d2_lag1,population_d2_lag4
2021-07-01,12.57078142695358,-0.7999999999999972,-0.10000000000000853,2.299999999999997,-0.22499999999999787,0.6238322424070976,-0.933333333333334,-0.39999999999999947,0.3536666666666666,-0.30066666666666686,470.0,-1614.0
2021-10-01,9.596510359869125,-0.5999999999999943,-0.7999999999999972,0.6000000000000085,-0.5750000000000028,0.3304037933599805,-0.5666666666666664,-0.2666666666666675,-0.31566666666666654,0.0466666666666673,3540.0,11396.0
2022-01-01,7.684210526315782,-0.8000000000000114,-0.5999999999999943,-0.10000000000000853,-0.375,0.7228416147400503,-0.6333333333333333,0.3333333333333339,0.03599999999999981,0.0409999999999997,10381.0,-9044.0
2022-04-01,4.5128205128205146,0.7000000000000028,-0.8000000000000114,-0.7999999999999972,-0.7249999999999979,1.1870832602082546,0.06666666666666687,-0.933333333333334,0.29566666666666697,0.3536666666666666,-11215.0,470.0
2022-07-01,0.3018108651911433,-2.1999999999999886,0.7000000000000028,-0.5999999999999943,-1.0250000000000021,1.291962331752232,-0.2333333333333334,-0.5666666666666664,0.3303333333333329,-0.31566666666666654,4134.0,3540.0
2022-10-01,-4.378109452736323,-1.8000000000000114,-2.1999999999999886,-0.8000000000000114,-1.1750000000000007,1.291962331752233,0.10000000000000009,-0.6333333333333333,0.06500000000000039,0.03599999999999981,16873.0,10381.0
2023-01-01,-6.451612903225801,-1.4000000000000057,-1.8000000000000114,0.7000000000000028,-0.5499999999999972,2.521243079646766,-0.06666666666666687,0.06666666666666687,0.3620000000000001,0.29566666666666697,-9228.0,-11215.0
2023-04-01,-5.299313052011778,3.200000000000017,-1.4000000000000057,-2.1999999999999886,0.29999999999999716,2.3466287875730822,0.4666666666666668,-0.2333333333333334,-0.6806666666666676,0.3303333333333329,-13497.0,4134.0
2023-07-01,-1.4042126379137487,1.1999999999999886,3.200000000000017,-1.8000000000000114,1.0,1.8832595855767464,-0.2333333333333334,0.10000000000000009,-0.19299999999999873,0.06500000000000039,4444.0,16873.0
2023-10-01,3.1217481789802326,1.0,1.1999999999999886,-1.4000000000000057,1.1000000000000014,1.7165857586111708,0.06666666666666687,-0.06666666666666687,0.02200000000000024,0.3620000000000001,-5977.0,-9228.0
2024-01-01,3.552769070010431,-1.0,1.0,3.200000000000017,0.09999999999999787,1.1604596790352761,-0.10000000000000009,0.4666666666666668,-0.349000000000002,-0.6806666666666676,12562.0,-13497.0
2024-04-01,4.352331606217619,-0.7999999999999972,-1.0,1.1999999999999886,0.20000000000000284,1.2961481396815742,0.46666666666666634,-0.2333333333333334,-0.5126666666666644,-0.19299999999999873,-13534.0,4444.0
2024-07-01,2.339776195320442,1.6000000000000085,-0.7999999999999972,1.0,-0.4750000000000014,1.4361406616345158,-0.3333333333333335,0.06666666666666687,0.6116666666666655,0.02200000000000024,4790.0,-5977.0
2024-10-01,4.036326942482349,-1.700000000000017,1.6000000000000085,-1.0,0.4250000000000007,2.01059692628832,0.0333333333333341,-0.10000000000000009,-0.18233333333333324,-0.349000000000002,-1979.0,12562.0
2025-01-01,5.549949545913213,2.6000000000000085,-1.700000000000017,-0.7999999999999972,0.375,2.0532494571613493,-0.10000000000000053,0.46666666666666634,-0.2890000000000006,-0.5126666666666644,12969.0,-13534.0
2025-04-01,4.865938430983108,-1.0,2.6000000000000085,1.6000000000000085,-0.15000000000000213,1.8982448033205217,0.3999999999999999,-0.3333333333333335,0.3870000000000009,0.6116666666666655,-14816.0,4790.0
2025-07-01,7.0576540755467265,-0.5,-1.0,-1.700000000000017,0.5500000000000043,1.6340134638368236,-0.3333333333333335,0.0333333333333341,0.004333333333332856,-0.18233333333333324,4194.0,-1979.0
2025-10-01,7.080504364694473,1.1000000000000085,-0.5,2.6000000000000085,0.05000000000000071,0.9678154093972001,0.06666666666666732,-0.10000000000000053,-0.09299999999999953,-0.2890000000000006,-4200.0,12969.0
